"id","link","currentTitle","proposedTitle","slug"
"6145","https://doble3d.cl/galaxy-xr-revolucione-la-capacitacion-minera-con-realidad-mixta-segura/","<image src=""https://doble3d.cl/wp-content/uploads/2025/10/file-160417-i4q1dwlu-583026-nQJ8fbHA.png"">
Galaxy XR: Revolucione la Capacitación Minera con Realidad Mixta Segura","Galaxy XR: Revolucione la Capacitación Minera con Realidad Mixta Segura","galaxy-xr-revolucione-la-capacitacion-minera-con-realidad-mixta-segura"
"6137","https://doble3d.cl/revolucion-la-realidad-aumentada-industrial-con-webxr/","<br>Realidad aumentada industrial con WebXR: potencia tu seguridad y eficiencia en minería","Realidad aumentada industrial con WebXR: potencia tu seguridad y eficiencia en minería","revolucion-la-realidad-aumentada-industrial-con-webxr"
"6097","https://doble3d.cl/conduccion-autonoma-y-realidad-mixta-seguridad-y-eficiencia-en-la-industria-minera/","<br>Conducción autónoma y realidad mixta: Seguridad y eficiencia en la industria minera","Conducción autónoma y realidad mixta: Seguridad y eficiencia en la industria minera","conduccion-autonoma-y-realidad-mixta-seguridad-y-eficiencia-en-la-industria-minera"
"6095","https://doble3d.cl/navegacion-quirurgica-en-realidad-mixta-precision-y-seguridad-en-cirugia-espinal/","<br>Navegación quirúrgica en realidad mixta: precisión y seguridad en cirugía espinal","Navegación quirúrgica en realidad mixta: precisión y seguridad en cirugía espinal","navegacion-quirurgica-en-realidad-mixta-precision-y-seguridad-en-cirugia-espinal"
"6082","https://doble3d.cl/capacitacion-inmersiva-en-mineria-mejora-la-seguridad-con-realidad-virtual/","<br>Capacitación inmersiva en minería: mejora la seguridad con realidad virtual","Capacitación inmersiva en minería: mejora la seguridad con realidad virtual","capacitacion-inmersiva-en-mineria-mejora-la-seguridad-con-realidad-virtual"
"6077","https://doble3d.cl/controlador-streamvr-para-windows-mixed-reality-revolucione-la-capacitacion-minera/","<image src=""https://doble3d.cl/wp-content/uploads/2025/09/file-532413-eSrIQsOe.png"">
Controlador StreamVR para Windows Mixed Reality: Revolucione la Capacitación Minera","Controlador StreamVR para Windows Mixed Reality: Revolucione la Capacitación Minera","controlador-streamvr-para-windows-mixed-reality-revolucione-la-capacitacion-minera"
"6052","https://doble3d.cl/gafas-inteligentes-asequibles-para-industria-seguridad-y-capacitacion-avanzada/","<image src=""https://doble3d.cl/wp-content/uploads/2025/09/file-676004-BGi9lJ6W.png"">
Gafas inteligentes asequibles para industria: seguridad y capacitación avanzada","Gafas inteligentes asequibles para industria: seguridad y capacitación avanzada","gafas-inteligentes-asequibles-para-industria-seguridad-y-capacitacion-avanzada"
"6044","https://doble3d.cl/innovacion-clave-para-capacitacion-minera-segura/","<br>Casco de realidad mixta Vivo: innovación clave para capacitación minera segura","Casco de realidad mixta Vivo: innovación clave para capacitación minera segura","innovacion-clave-para-capacitacion-minera-segura"
"6016","https://doble3d.cl/realidad-mixta-en-gestion-operativa/","<br>Realidad mixta en gestión operativa: innovación y seguridad para minería","Realidad mixta en gestión operativa: innovación y seguridad para minería","realidad-mixta-en-gestion-operativa"
"6008","https://doble3d.cl/mejora-la-seguridad-y-eficiencia-minera/","<br>Tren de alta velocidad Idaho: mejora la seguridad y eficiencia minera","Tren de alta velocidad Idaho: mejora la seguridad y eficiencia minera","mejora-la-seguridad-y-eficiencia-minera"
